FrameCounter,Timestamp,LedState,Region0G,Region1R
12283,6130.25696,1,0.248341404558452,0.11928627656783
12284,6130.273632,2,0.0399528398040869,0.0352292898266628
12285,6130.290272,1,0.248833942118573,0.119182346252592
12286,6130.306944,2,0.0400619253039794,0.0352879435689259
12287,6130.323616,1,0.248711634133845,0.119225564799523
12288,6130.340288,2,0.0399858960161755,0.0352714793605713
12289,6130.35696,1,0.248670864805602,0.11924820308601
12290,6130.373632,2,0.0400288690918908,0.0352457540350173
12291,6130.390272,1,0.248768931568132,0.11924820308601
12292,6130.406944,2,0.0400409897029899,0.0353095528423912
12293,6130.423616,1,0.248453795679553,0.119291421632941
12294,6130.440288,2,0.0400674346726609,0.0352735373866156
12295,6130.45696,1,0.248506685618895,0.119189549343747
12296,6130.4736,2,0.0400453971979351,0.0353157269205242
12297,6130.490272,1,0.24851990810373,0.119228651838589
12298,6130.506944,2,0.0399869978899118,0.0353085238293691
12299,6130.523616,1,0.248428452583618,0.119222477760456
12300,6130.540288,2,0.0400178503545279,0.0352941176470588
12301,6130.556928,1,0.24840421136142,0.119207042565124
12302,6130.5736,2,0.0399880997636481,0.0352087095662196
12303,6130.590272,1,0.24841302635131,0.119125750536373
12304,6130.606944,2,0.0399087648546353,0.0351716650974218
12305,6130.623616,1,0.248177225371745,0.119037255416467
12306,6130.640256,2,0.0400013222484836,0.0353074948163469
12307,6130.656928,1,0.248159595391964,0.119214245656279
12308,6130.6736,2,0.0399671641626586,0.0352529571261724
12309,6130.690272,1,0.248025166796137,0.119034168377401
12310,6130.706944,2,0.0399627566677134,0.0353064658033247
12311,6130.723616,1,0.248205874088888,0.119066067781088
12312,6130.740288,2,0.0399858960161755,0.0352292898266628
12313,6130.756928,1,0.248234522806032,0.119055777650866
12314,6130.7736,2,0.0400553140615617,0.0352930886340367
12315,6130.790272,1,0.248166206634382,0.119138098692639
12316,6130.806944,2,0.0400178503545279,0.0352128256183082
12317,6130.823584,1,0.248169512255591,0.119149417835883
12318,6130.840256,2,0.0400542121878254,0.0352364929178179
12319,6130.856928,1,0.248317163336253,0.119084590015487
12320,6130.8736,2,0.0401269358544204,0.0352653052824383
12321,6130.890272,1,0.248305042725154,0.119046516533667
12322,6130.906912,2,0.0399627566677134,0.0352869145559037
12323,6130.923584,1,0.248597039265271,0.119151475861927
12324,6130.940256,2,0.0401159171170576,0.0352076805531974
12325,6130.956928,1,0.248504481871422,0.119145301783794
12326,6130.9736,2,0.0400993890110132,0.0352292898266628
